trade_date,open,high,low,close,vol,pre_close
2022-09-21,102.06,103.92,101.16,101.88,37872.98,102.4
2022-09-22,101.44,101.44,98.63,99.94,46289.98,101.88
2022-09-23,100.37,103.78,100.08,102.3,59391.75,99.94
2022-09-26,101.0,105.5,101.0,103.85,49122.61,102.3
2022-09-27,104.14,107.04,102.22,106.95,67674.3,103.85
2022-09-28,106.22,107.8,105.4,106.08,39408.63,106.95
2022-09-29,106.97,107.97,104.21,105.25,49333.46,106.08
2022-09-30,105.56,108.3,105.25,106.2,53362.77,105.25
2022-10-10,106.0,106.0,102.0,102.46,59067.6,106.2
2022-10-11,102.56,104.98,101.89,104.06,41332.02,102.46
2022-10-12,104.0,104.5,100.3,103.77,51656.17,104.06
2022-10-13,103.76,103.76,100.0,100.52,47279.85,103.77
2022-10-14,101.05,104.44,100.4,103.26,49032.83,100.52
2022-10-17,102.5,103.29,100.3,101.2,39535.06,103.26
2022-10-18,101.56,102.48,98.9,99.44,46889.94,101.2
2022-10-19,99.7,99.7,96.67,97.38,60045.69,99.44
2022-10-20,97.4,99.0,95.28,96.96,44387.05,97.38
2022-10-21,96.98,97.3,94.7,96.67,42090.33,96.96
2022-10-24,96.36,96.36,92.2,92.4,44759.32,96.67
2022-10-25,91.01,93.88,90.38,93.3,45734.95,92.4
2022-10-26,94.09,96.0,92.7,94.79,51046.91,93.3
2022-10-27,92.8,92.8,86.0,86.5,131942.79,94.79
2022-10-28,86.0,86.76,83.73,84.4,77675.99,86.5
2022-10-31,84.03,84.03,80.88,81.8,96346.23,84.4
2022-11-01,82.03,87.84,82.03,87.83,106641.14,81.8
2022-11-02,87.55,95.38,86.97,93.41,121606.38,87.83
2022-11-03,92.08,92.75,90.7,92.11,55290.66,93.41
2022-11-04,92.11,101.2,91.66,99.2,104252.27,92.11
2022-11-07,98.67,101.0,97.41,100.01,67228.38,99.2
2022-11-08,99.6,101.81,98.0,99.07,41175.37,100.01
2022-11-09,98.53,99.5,96.57,96.8,41392.86,99.07
2022-11-10,96.85,99.28,96.18,98.35,43649.35,96.8
2022-11-11,102.0,103.75,99.0,101.34,80436.77,98.35
