trade_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2023-04-04,600132.SH,20230404,123.55,128.08,122.1,127.78,123.57,4.21,3.407,48112.92,602860.845
2023-04-06,600132.SH,20230406,126.54,128.5,125.44,125.95,127.78,-1.83,-1.4321,26564.46,335864.152
2023-04-07,600132.SH,20230407,126.0,127.03,124.51,125.25,125.95,-0.7,-0.5558,20213.58,253703.501
2023-04-10,600132.SH,20230410,124.98,124.98,120.3,123.23,125.25,-2.02,-1.6128,34116.66,417084.926
2023-04-11,600132.SH,20230411,122.0,123.0,117.4,118.68,123.23,-4.55,-3.6923,53974.29,643963.396
2023-04-12,600132.SH,20230412,118.66,118.98,113.39,113.4,118.68,-5.28,-4.4489,57145.94,657078.212
2023-04-13,600132.SH,20230413,112.0,115.46,111.27,114.44,113.4,1.04,0.9171,44065.37,502669.745
2023-04-14,600132.SH,20230414,114.42,115.59,109.5,110.55,114.44,-3.89,-3.3992,59913.7,666238.459
2023-04-17,600132.SH,20230417,111.3,113.36,110.39,111.88,110.55,1.33,1.2031,41456.14,463022.839
2023-04-18,600132.SH,20230418,112.8,113.59,111.1,112.54,111.88,0.66,0.5899,39390.15,443155.685
2023-04-19,600132.SH,20230419,112.04,112.27,110.16,110.82,112.54,-1.72,-1.5283,31386.59,348353.229
2023-04-20,600132.SH,20230420,110.51,111.3,108.6,109.31,110.82,-1.51,-1.3626,35067.24,384271.847
2023-04-21,600132.SH,20230421,109.31,110.1,107.15,107.16,109.31,-2.15,-1.9669,39486.12,427831.968
2023-04-24,600132.SH,20230424,107.06,107.06,103.6,104.26,107.16,-2.9,-2.7062,49282.19,515808.799
2023-04-25,600132.SH,20230425,105.15,107.23,104.64,105.93,104.26,1.67,1.6018,48989.21,517875.525
2023-04-26,600132.SH,20230426,105.27,106.6,103.68,105.99,105.93,0.06,0.0566,35048.52,368791.541
2023-04-27,600132.SH,20230427,105.3,106.48,104.08,105.87,105.99,-0.12,-0.1132,33034.58,347518.014
2023-04-28,600132.SH,20230428,105.7,108.04,103.4,104.16,105.87,-1.71,-1.6152,63303.9,662576.362
2023-05-04,600132.SH,20230504,104.0,105.43,101.55,102.3,104.16,-1.86,-1.7857,43175.21,443697.789
2023-05-05,600132.SH,20230505,102.0,103.88,101.55,102.65,102.3,0.35,0.3421,32721.25,336062.328
2023-05-08,600132.SH,20230508,102.65,103.4,100.57,100.86,102.65,-1.79,-1.7438,33355.25,337474.965
2023-05-09,600132.SH,20230509,100.57,102.49,99.99,100.13,100.86,-0.73,-0.7238,37954.24,382767.896
2023-05-10,600132.SH,20230510,100.0,100.95,99.21,100.05,100.13,-0.08,-0.0799,24062.87,240438.409
2023-05-11,600132.SH,20230511,100.11,100.75,99.26,99.38,100.05,-0.67,-0.6697,24793.87,247689.911
2023-05-12,600132.SH,20230512,99.0,99.56,96.7,96.8,99.38,-2.58,-2.5961,44639.7,435594.685
2023-05-15,600132.SH,20230515,96.8,97.25,95.0,97.25,96.8,0.45,0.4649,45563.12,437251.66
2023-05-16,600132.SH,20230516,97.24,97.24,94.72,95.03,97.25,-2.22,-2.2828,46378.89,444473.677
2023-05-17,600132.SH,20230517,94.82,94.82,91.5,92.65,95.03,-2.38,-2.5045,69444.71,643589.822
2023-05-18,600132.SH,20230518,91.6,94.75,91.59,93.46,92.65,0.81,0.8743,53333.0,498276.053
2023-05-19,600132.SH,20230519,92.87,98.32,91.88,96.13,93.46,2.67,2.8568,86218.34,824999.59
2023-05-22,600132.SH,20230522,95.8,98.98,93.57,97.77,96.13,1.64,1.706,69618.36,674902.163
2023-05-23,600132.SH,20230523,98.6,99.52,95.61,95.63,97.77,-2.14,-2.1888,43676.81,422931.085
2023-05-24,600132.SH,20230524,94.7,95.83,94.0,94.0,95.63,-1.63,-1.7045,33763.96,319626.92
2023-05-25,600132.SH,20230525,93.21,95.0,92.7,94.38,94.0,0.38,0.4043,37152.17,349399.633
2023-05-26,600132.SH,20230526,94.37,95.31,93.0,93.17,94.38,-1.21,-1.2821,26927.25,252229.708
2023-05-29,600132.SH,20230529,93.18,94.1,92.43,93.33,93.17,0.16,0.1717,27399.72,255084.192
2023-05-30,600132.SH,20230530,92.8,93.33,89.9,91.04,93.33,-2.29,-2.4537,63879.79,581933.107
2023-05-31,600132.SH,20230531,91.35,91.86,89.21,89.21,91.04,-1.83,-2.0101,43803.89,395679.071
2023-06-01,600132.SH,20230601,89.97,92.75,88.49,90.49,89.21,1.28,1.4348,51635.5,469660.283
2023-06-02,600132.SH,20230602,91.2,96.56,90.73,95.85,90.49,5.36,5.9233,90173.71,848820.278
2023-06-05,600132.SH,20230605,95.8,97.25,94.2,94.83,95.85,-1.02,-1.0642,61355.34,585127.272
2023-06-06,600132.SH,20230606,94.83,96.71,93.8,95.48,94.83,0.65,0.6854,58108.24,555856.538
2023-06-07,600132.SH,20230607,95.68,96.68,90.58,90.68,95.48,-4.8,-5.0272,97564.4,900696.385
2023-06-08,600132.SH,20230608,90.11,92.35,89.06,90.42,90.68,-0.26,-0.2867,55472.38,501259.716
2023-06-09,600132.SH,20230609,90.45,91.45,89.6,90.49,90.42,0.07,0.0774,44405.28,401129.226
2023-06-12,600132.SH,20230612,90.6,99.48,89.66,98.15,90.49,7.66,8.465,133418.04,1270138.09
2023-06-13,600132.SH,20230613,97.64,99.4,96.01,97.63,98.15,-0.52,-0.5298,74845.45,730775.881
2023-06-14,600132.SH,20230614,97.8,99.2,97.28,98.36,97.63,0.73,0.7477,85273.09,839615.086
2023-06-15,600132.SH,20230615,98.31,102.0,97.31,102.0,98.36,3.64,3.7007,100854.82,1005426.427
2023-06-16,600132.SH,20230616,99.8,101.26,98.55,99.58,99.4,0.18,0.1811,69667.6,695929.24
2023-06-19,600132.SH,20230619,99.01,99.86,97.7,98.2,99.58,-1.38,-1.3858,54614.97,538145.264
2023-06-20,600132.SH,20230620,98.17,98.86,96.39,97.15,98.2,-1.05,-1.0692,43222.73,420884.713
2023-06-21,600132.SH,20230621,96.87,98.18,96.09,96.25,97.15,-0.9,-0.9264,42391.52,411136.174
2023-06-26,600132.SH,20230626,95.25,96.24,93.2,94.2,96.25,-2.05,-2.1299,43773.05,413400.537
